title,image,date,broadcast_place,genres,certificate,synopsis,directors,scenarists,actors,average_notes_press,average_notes_spectators,nationality,distributor,awards,year_production,movie_type,language,entrance_number_fr
Hors Normes,https://fr.web.img4.acsta.net/c_310_420/pictures/19/08/20/16/22/2633779.jpg,23 octobre 2019,en salle,Comédie,Tout public,"Bruno et Malik vivent depuis 20 ans dans un monde à part, celui des enfants et adolescents autistes. Au sein de leurs deux associations respectives, ils forment des jeunes issus des quartiers difficiles pour encadrer ces cas qualifiés ""d'hyper complexes"". Une alliance hors du commun pour des personnalités hors normes.","Eric Toledano,Olivier Nakache","Eric Toledano,Olivier Nakache","Vincent Cassel,Reda Kateb,Hélène Vincent","3,9","4,2",France,Gaumont Distribution,11 nominations,2019,Long métrage,Français,2 108 551 entrées
Invincible,https://fr.web.img3.acsta.net/c_310_420/pictures/14/11/06/14/39/212413.jpg,7 janvier 2015,en salle,"Biopic,Drame,Guerre",Tout public,"L'incroyable destin du coureur olympique et héros de la Seconde Guerre mondiale Louis ""Louie"" Zamperini dont l'avion s'est écrasé en mer en 1942, tuant huit membres de l'équipage et laissant les trois rescapés sur un canot de sauvetage où deux d'entre eux survécurent 47 jours durant, avant d'être capturés par la marine japonaise et envoyés dans un camp de prisonniers de guerre.",Angelina Jolie,"William Nicholson,Richard LaGravenese","Jack O'Connell,Domhnall Gleeson,Garrett Hedlund","3,0","4,0",U.S.A.,Universal Pictures International France,3 nominations,2014,Long métrage,Anglais,669 732 entrées
The Dead Don't Die,https://fr.web.img4.acsta.net/c_310_420/pictures/19/04/10/16/21/2574607.jpg,14 mai 2019,en salle,"Comédie,Epouvante-horreur",Interdit - 12 ans,"Dans la sereine petite ville de Centerville, quelque chose cloche. La lune est omniprésente dans le ciel, la lumière du jour se manifeste à des horaires imprévisibles et les animaux commencent à avoir des comportements inhabituels. Personne ne sait vraiment pourquoi. Les nouvelles sont effrayantes et les scientifiques sont inquiets. Mais personne ne pouvait prévoir l’évènement le plus étrange et dangereux qui allait s’abattre sur Centerville : THE DEAD DON’T DIE – les morts sortent de leurs tombes et s’attaquent sauvagement aux vivants pour s’en nourrir. La bataille pour la survie commence pour les habitants de la ville.",Jim Jarmusch,Jim Jarmusch,"Bill Murray,Adam Driver,Tilda Swinton","3,1","2,1",U.S.A.,Universal Pictures International France,2 nominations,2019,Long métrage,Anglais,333 032 entrées
La Promesse de l'aube,https://fr.web.img2.acsta.net/c_310_420/pictures/17/08/29/09/55/254375.jpg,20 décembre 2017,en salle,"Biopic,Drame",Tout public,"De son enfance difficile en Pologne en passant par son adolescence sous le soleil de Nice, jusqu’à ses exploits d’aviateur en Afrique pendant la Seconde Guerre mondiale… Romain Gary a vécu une vie extraordinaire. Mais cet acharnement à vivre mille vies, à devenir un grand homme et un écrivain célèbre, c’est à Nina, sa mère, qu’il le doit. C’est l’amour fou de cette mère attachante et excentrique qui fera de lui un des romanciers majeurs du XXème siècle, à la vie pleine de rebondissements, de passions et de mystères. Mais cet amour maternel sans bornes sera aussi son fardeau pour la vie…",Eric Barbier,"Eric Barbier,Marie Eynard","Charlotte Gainsbourg,Pierre Niney,Didier Bourdon","3,3","4,1",France,Pathé Films,3 prix et 5 nominations,2017,Long métrage,Français,1 053 288 entrées
Astérix - Le Secret de la Potion Magique,https://fr.web.img4.acsta.net/c_310_420/pictures/23/12/12/16/57/3092330.jpg,5 décembre 2018,en salle,"Aventure,Animation,Famille",Tout public,"À la suite d’une chute lors de la cueillette du gui, le druide Panoramix décide qu’il est temps d’assurer l’avenir du village. Accompagné d’Astérix et Obélix, il entreprend de parcourir le monde gaulois à la recherche d’un jeune druide talentueux à qui transmettre le Secret de la Potion Magique…","Louis Clichy,Alexandre Astier",Alexandre Astier,"Bernard Alane,Christian Clavier,Guillaume Briat","3,7","3,9",France,SND,1 nomination,2018,Long métrage,07/02/2024,3 923 364 entrées
L'Immortel,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/73/28/01/19237620.jpg,19 mars 2010,en salle,Policier,Interdit - 12 ans,"Charly Matteï a tourné la page de son passé de hors la loi. Depuis trois ans, il mène une vie paisible et se consacre à sa femme et ses deux enfants. Pourtant, un matin d'hiver, il est laissé pour mort dans le parking du vieux port à Marseille avec 22 balles dans le corps. Contre toute attente, il ne va pas mourir... Cette histoire est inspirée de faits réels, mais où tout est inventé, au cœur du Milieu marseillais.",Richard Berry,"Richard Berry,Alexandre De La Patellière","Jean Reno,Kad Merad,Marina Foïs","2,4","3,3",France,EuropaCorp Distribution,1 prix et 7 nominations,2010,Long métrage,"Anglais, Français",1 127 458 entrées
Mother!,https://fr.web.img2.acsta.net/c_310_420/pictures/17/09/08/09/41/2636970.jpg,13 septembre 2017,en salle,Thriller,Interdit - 12 ans,"Une jeune femme, soucieuse de son bonheur conjugal, a voulu faire de sa maison un paradis en soignant la décoration dans les moindres détails. L'existence tranquille et parfaite du couple est bouleversée quand un homme frappe à la porte. Pour le mari, rien de plus naturel que de l'accueillir pour la nuit...",Darren Aronofsky,Darren Aronofsky,"Jennifer Lawrence,Javier Bardem,Ed Harris","2,8","2,9",U.S.A.,Paramount Pictures France,5 nominations,2017,Long métrage,Anglais,349 555 entrées
Brillantissime,https://fr.web.img6.acsta.net/c_310_420/pictures/17/12/12/16/58/1772950.jpg,17 janvier 2018,en salle,Comédie,Tout public,"Angela pense avoir une vie idéale. Elle vit à Nice, dans un bel appartement, avec un beau mari et une charmante ado. Mais le soir de Noël, sa fille la laisse pour rejoindre son petit copain, son mari la quitte et sa meilleure amie préfère prendre des somnifères plutôt que de passer la soirée avec elle. Le choc ! Angela n’a plus d’autre choix que celui de se reconstruire... et ce n’est pas simple avec une mère tyrannique, une meilleure amie hystérique et un psy aux méthodes expérimentales.",Michèle Laroque,"Michèle Laroque,Benjamin Morgaine","Michèle Laroque,Kad Merad,Françoise Fabian","2,2","1,7",France,StudioCanal,1 nomination,2017,Long métrage,Français,612 565 entrées
Warrior,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/83/50/33/19794371.jpg,14 septembre 2011,en salle,"Action,Drame,Évènement Sportif",Tout public,"Ancien Marine brisé, Tommy Conlon rentre au pays et demande à son père de le préparer pour un tournoi d’arts martiaux mixtes qui lui permettrait de gagner une fortune. Personne ne sait ce qu’il espère faire de cet argent. Le propre frère de Tommy, Brendan, décide lui aussi de s’engager dans la compétition pour essayer de sauver sa famille. Entre les deux frères, les années n’ont pas adouci les rancœurs.,Immanquablement, les routes de Tommy et de Brendan vont bientôt se croiser. Au-delà de l’affrontement qui s’annonce, pour chacun, quelle que soit la cause qu’ils défendent, il n’est pas seulement question de remporter un prix, mais de mener le combat d’une vie…",Gavin O'Connor,"A.M. Tambakis,Gavin O'Connor","Joel Edgerton,Tom Hardy,Jennifer Morrison","3,6","4,3",U.S.A.,Metropolitan FilmExport,2 nominations,2011,Long métrage,Anglais,196 439 entrées
Argo,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/87/65/00/20273151.jpg,7 novembre 2012,en salle,"Drame,Espionnage,Thriller",Tout public,"Le 4 novembre 1979, au summum de la révolution iranienne, des militants envahissent l’ambassade américaine de Téhéran, et prennent 52 Américains en otage. Mais au milieu du chaos, six Américains réussissent à s’échapper et à se réfugier au domicile de l’ambassadeur canadien. Sachant qu’ils seront inévitablement découverts et probablement tués, un spécialiste de ""l’exfiltration"" de la CIA du nom de Tony Mendez monte un plan risqué visant à les faire sortir du pays. Un plan si incroyable qu’il ne pourrait exister qu’au cinéma.",Ben Affleck,Chris Terrio,"Ben Affleck,Bryan Cranston,John Goodman","3,7","4,1",U.S.A.,Warner Bros. France,14 prix et 15 nominations,2012,Long métrage,Anglais,1 367 509 entrées
Star Wars: L'Ascension de Skywalker,https://fr.web.img5.acsta.net/c_310_420/pictures/20/10/02/12/21/3764004.png,18 décembre 2019,en salle,"Aventure,Science Fiction",Tout public,La conclusion de la saga Skywalker. De nouvelles légendes vont naître dans cette bataille épique pour la liberté.,J.J. Abrams,"Chris Terrio,J.J. Abrams","Daisy Ridley,Adam Driver,Oscar Isaac","3,1","3,0",U.S.A.,The Walt Disney Company France,6 nominations,2019,Long métrage,Anglais,5 911 207 entrées
Eden,https://fr.web.img3.acsta.net/c_310_420/pictures/14/10/10/17/00/513445.jpg,19 novembre 2014,en salle,"Biopic,Drame,Musical",Tout public,"Au début des années 90, la musique électronique française est en pleine effervescence. Paul, un DJ, fait ses premiers pas dans le milieu de la nuit parisienne et créé avec son meilleur ami le duo «Cheers».,Ils trouveront leur public et joueront dans les plus grands clubs de la capitale. C’est le début pour eux d’une ascension euphorique, vertigineuse, dangereuse et éphémère.,C’est aussi le parcours sentimental d’un jeune homme qui accumule les histoires d’amour et qui n’arrive pas à construire.,Eden tente de faire revivre l’euphorie des années 90 et l’histoire de la French Touch : cette génération d’artistes français qui continue de briller dans le monde entier.",Mia Hansen-Løve,Mia Hansen-Løve,"Félix de Givry,Pauline Etienne,Hugo Conzelmann","3,0","2,6",France,Ad Vitam,1 nomination,2014,Long métrage,"Anglais, Français",56 137 entrées
Hostiles,https://fr.web.img2.acsta.net/c_310_420/pictures/18/02/02/17/23/5152324.jpg,14 mars 2018,en salle,"Drame,Western",Tout public,"En 1892, le capitaine de cavalerie Joseph Blocker, ancien héros de guerre devenu gardien de prison, est contraint d’escorter Yellow Hawk, chef de guerre Cheyenne mourant, sur ses anciennes terres tribales. Peu après avoir pris la route, ils rencontrent Rosalee Quaid. Seule rescapée du massacre de sa famille par les Comanches, la jeune femme traumatisée se joint à eux dans leur périple.,Façonnés par la souffrance, la violence et la mort, ils ont en eux d’infinies réserves de colère et de méfiance envers autrui. Sur le périlleux chemin qui va les conduire du Nouveau-Mexique jusqu’au Montana, les anciens ennemis vont devoir faire preuve de solidarité pour survivre à l’environnement et aux tribus comanches qu’ils rencontrent.",Scott Cooper,Scott Cooper,"Christian Bale,Rosamund Pike,Wes Studi","4,0","4,1",U.S.A.,Metropolitan FilmExport,1 nomination,2017,Long métrage,Anglais,370 330 entrées
Jojo Rabbit,https://fr.web.img6.acsta.net/c_310_420/pictures/19/10/15/10/55/1009759.jpg,29 janvier 2020,en salle,"Comédie,Drame,Guerre",Tout public,"Jojo est un petit allemand solitaire. Sa vision du monde est mise à l’épreuve quand il découvre que sa mère cache une jeune fille juive dans leur grenier. Avec la seule aide de son ami aussi grotesque qu'imaginaire, Adolf Hitler, Jojo va devoir faire face à son nationalisme aveugle.",Taika Waititi,Taika Waititi,"Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson","3,1","3,9",U.S.A.,Twentieth Century Fox France,2 prix et 15 nominations,2019,Long métrage,Anglais,395 926 entrées
Pixels,https://fr.web.img3.acsta.net/c_310_420/pictures/15/06/19/11/04/234477.jpg,22 juillet 2015,en salle,"Action,Comédie,Science Fiction",Tout public,"À l’époque de leur jeunesse, dans les années 80, Sam Brenner, Will Cooper, Ludlow Lamonsoff et Eddie « Fire Blaster » Plant ont sauvé le monde des milliers de fois… en jouant à des jeux d’arcade à 25 cents la partie. Mais aujourd’hui, ils vont devoir le faire pour de vrai… Lorsque des aliens découvrent des vidéos d’anciens jeux et les prennent pour une déclaration de guerre, ils lancent l’assaut contre la Terre. Ces mêmes jeux d’arcade leur servent de modèles pour leurs attaques. Cooper, qui est désormais Président des États-Unis, fait alors appel à ses vieux potes pour empêcher la destruction de la planète par PAC-MAN, Donkey Kong, Galaga, Centipede et les Space Invaders… Les gamers pourront compter sur l’aide du lieutenant-colonel Violet Van Patten, une spécialiste qui va leur fournir des armes uniques...",Chris Columbus,"Timothy Dowling,Tim Herlihy","Adam Sandler,Michelle Monaghan,Kevin James","3,2","2,7",U.S.A.,Sony Pictures Releasing France,6 nominations,2015,Long métrage,Anglais,714 198 entrées
Baywatch - Alerte à Malibu,https://fr.web.img5.acsta.net/c_310_420/pictures/17/08/04/23/23/176634.jpg,21 juin 2017,en salle,"Action,Comédie",Tout public,"Le légendaire sauveteur Mitch Buchannon  est contraint de s’associer à une nouvelle recrue, Matt Brody, aussi ambitieux que tête brûlée ! Ensemble, ils vont tenter de déjouer un complot criminel qui menace l'avenir de la Baie…",Seth Gordon,"Damian Shannon,Mark Swift","Dwayne Johnson,Zac Efron,Alexandra Daddario","1,8","2,6",U.S.A.,Paramount Pictures France,4 nominations,2017,Long métrage,Anglais,1 564 810 entrées
It Follows,https://fr.web.img4.acsta.net/c_310_420/pictures/14/12/08/15/41/424397.jpg,4 février 2015,en salle,Epouvante-horreur,Interdit - 12 ans,"Dans une banlieue pavillonnaire de Detroit, Jay, étudiante insouciante d’une vingtaine d’années, se rend au cinéma avec Hugh, un garçon de son âge qu’elle a commencé à fréquenter. Mais ce dernier écourte la séance, pris de panique devant une étrange vision. Lors d’un second rendez-vous au bord du lac, les deux jeunes gens font l’amour pour la première fois. À la fin de leurs ébats, Hugh endort sa partenaire avec du chloroforme... Quand Jay reprend conscience, elle est attachée dans un fauteuil roulant. Face à elle, un Hugh apeuré lui explique qu’une ""chose"", qui se présentera sous différentes formes, connues ou inconnues, la suit désormais dans le but de la tuer. Si elle parvient à ses fins, la malédiction s’abattra alors sur la personne qui la lui a transmise. Pour s’en libérer, Jay n’a qu’une solution : coucher avec quelqu’un d’autre, qui deviendra cible à sa place…",David Robert Mitchell,David Robert Mitchell,"Maika Monroe,Keir Gilchrist,Daniel Zovatto","4,4","3,5",U.S.A.,Metropolitan FilmExport,2 prix et 4 nominations,2014,Long métrage,Anglais,129 953 entrées
"Mange, prie, aime",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/77/01/84/19472721.jpg,22 septembre 2010,en salle,Drame,Tout public,"Après un divorce difficile, Liz Gilbert décide de prendre une année sabbatique et de changer de vie. Elle entame alors un périple initiatique qui va l’emmener au bout du monde et d’elle-même. Lors d’un voyage aussi exotique que merveilleux, elle retrouve l’appétit de vivre et le plaisir de manger en Italie, le pouvoir de la prière et de l’esprit en Inde, et de façon tout à fait inattendue, elle trouvera la paix intérieure et l’amour à Bali.",Ryan Murphy,"Jennifer Salt,Ryan Murphy","Julia Roberts,Richard Jenkins,Javier Bardem","1,7","2,5",U.S.A.,Sony Pictures Releasing France,1 nomination,2010,Long métrage,"Anglais, Italien, Portugais",663 969 entrées
